Nombre,ID del producto,Precio,Categoría,Imagen,Activo,Destacado,Artista,Stock,Descripción,Notas internas,Trigger Make
VINIL KANY GARCIAS,DV00001,"$161,00",DISCO,DV00001 - DISCO VINIL KANY GARCIAS.webp (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/3dx-E4LKlegJkWZfd6pIkQ/P7Ap1w-krkl8z4oG26rYp_rXIa6WFta-eX1KE31CbtHeKgeRWNQOGu5XPv86ZAAfYpkAchNmwfNciu9dSU44VfV9caGS3aVxvz6ccdpJvbaHqHjg9q-UJLssvLD4piPHbziMglga_De6B8pN24PfEw0HDaZk6MEvHLKs43icDqwofp2id7yl0U29EYrd0z_u/Oob2B0Oxw79SDZiVNURe5_U8lEjhayP57Z5mY2FClSk),checked,,KANY GARCIAS,Disponible,,,24/6/2026 4:23pm
VINIL CAPE DORY TENNIS,DV00002 ,"$80,50",DISCO,DV00002 - DISCO VINIL CAPE DORY TENNIS.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/GjHVEfopJbGIhJVD4L9Whw/akGjPV5qf7v_EvZIiGmWayps50-m5Fr_dBib-EhjuCUyzLmnIbrDISBrzuEAtekLpEl8_08igWsoAYPYi-3YZLSklRfIcso3qBxugHy2_ajyzE_iVCgXFY5bQ3mSw1KHGzymy0lGzYsNbNKu5_DaJdE8Nei0bT_r6fEnAB2zMNrIIKuRUObttws4ZXucJwRr/2C3wqieGpU60loNnB4dv_wnFVBxkvYh61sh3I7y0UO0),checked,,CAPE DORY TENNIS,Disponible,,,24/6/2026 4:23pm
VINIL TEYLOR SWIFT 1989,DV00003 ,"$80,50",DISCO,DV00003 - DISCO VINIL TEYLOR SWIFT 1989.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/h-e45JFSDufWJOWbpTX0DA/xpm8Pggvn7ezKrZQDz0WRv_JPYlVtDnZS1nzlyVzqqm2qqJKII4Fv16jg0Xq5EcmYPlENktuXRHtnd0r2wVUGbhFDTqovJTqDXIN0NrJ1UcWhnM5p5Y0R4VpjwIEkzpejW3NKKQVpKICCWhrkgEziACjyUT0QHXmPCk3OaIC2VYtEX0F-ojcuidzWoJ7ZvQY/hFBpaLe8-tm7LE474dnelGcg1l05BgYT0xnhA_mlWr4),checked,,TEYLOR SWIFT,Disponible,,,24/6/2026 4:23pm
VINIL TAYLOR SWIFT THE LIFE OF A SHOWGIRL,DV00004,"$92,00",DISCO,DV00004 - DISCO VINIL TAYLOR SWIFT THE LIFE OF A SHOWGIRL.png (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/KOw-Li3A_NGVtEJ_wmmZ7w/WFpLy8ObUacZA-QGU1xGZ7AEv16fFllwwpVDLnltJ7WGEXc5LaocGbJZSSRePpz7QP-KPdCvZBNfCiGcfnryn85kGTXVZeuTy4weZnj-mc6OJsKsTllNg2wG8klB4tEEbaj0hpzaD8uhL9zSk5Hp6vimQvVL9XYo3-HfhCNSCIl7Drg0k6DYvm9HhDjTP0ThaYBEr-DsKdv-0AQqk3TPAw/4Ax951h4UeZeNdBH9LuljGcDO6rahFXkqgeM1BRUCe8),checked,,TEYLOR SWIFT,Disponible,,,24/6/2026 4:24pm
VINIL SYNC,DV00005,"$92,00",DISCO,DV00005 - DISCO VINIL SYNC.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/4ydUMJK29ceNv9LGFHjQow/I3nf37aQ1092GoeRzoME5LHkE6qjpf7niFF9uLXIfnvIcXYchm1PX_UUSFYE_HHRnSPcopSdP7E7KanqHFw7p53QmF3lL1YDh7w6fff3MRC0ueCi99wYhDXbqPZYJilfaRJnfEMMrC1Ekr7JKJe-nF2XHb7gLtlS8ETLaZai1BekjsaOrZiVlzms52PM8fp1/QnBZtqja513t-OjROWFjZq-40jTwBJDo3R8lH1NVDqI),checked,,SYNC,Disponible,,,24/6/2026 4:26pm
VINIL SHAKIRA DONDE ESTAN LOS LADRONES,DV00006 ,"$85,10",DISCO,DV00006 - DISCO VINIL SHAKIRA DONDE ESTAN LOS LADRONES.webp (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/9Vpf5XAxh17fSkFevZQIoQ/hXDeJXHmkXb_uKude8dWF0CuIqOWlxmqc4pRI2-z2wIDnBNsCaFatW6roQmpMg_w5pHeLHvLvHXdb8wn7ohpmlQYNCTktOVFrPeUUUK5cST-FHSHR0qSfMErF2ouh9zVYBvcVvyIuLNyk59Xn_f8gNDSmR713hoV-Nw0gvl1s5k7BdopIz6r4Dd9fkF86q7iMR-aOiKePKG4h3xXOiUOvg/Ladoeig6NmuGjHYal4wqoYYxj6lv51jDsWgcAEuG2-U),checked,,SHAKIRA,Disponible,,,24/6/2026 4:26pm
VINIL SHAKIRA PIES DESCALZOS,DV00007,"$85,10",DISCO,DV00007 - DISCO VINIL SHAKIRA PIES DESCALZOS.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/OcKbtbJvvecSMMhaOKe9lA/c_LdZZs-5fPR6p9TuFpTPWQxUNGAJLRhQRoW3QswqM3bHHi9pzUeaafPCcNTU6pkRWbZS4we38HBHrp4dbpLCJL6FPAwOrygWv0kkhMGyxNXL55nW5vFOXD3WeWfsI4522DeZrJVocEGmJrUFcJpG-Cy0Ps6SWXFq6EIFgn5GGs6Jb0Mw8EMD1H5Zp-u4vXiYz1ch6ighKS6hRzRqeRY_g/swaufeA405XsO9kjUTkJw4Bqwde7g2l8zKl16OtYak4),checked,,SHAKIRA,Disponible,,,24/6/2026 4:26pm
VINIL BRITNEY SPEARS,DV00008,"$75,90",DISCO,DV00008 - DISCO VINIL BRITNEY SPEARS.webp (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/cOH0D6KIyr4R7HwOfy5hPw/UARp4Molw-qdvpn_NKm6fvmqgNHvGaW4OU-ZyP5ZuLKCF7jn-skxWQQaggCqvEIH17fDC_DfyaLBQuVwJE9wv_cT0G4bPE2-c59x3xOo4-eHGUnw7QGT3dMe0ikJGmtQhblLQnG1VFNf9ke0jqNhg5XITzBd8yNvqIMjD0ewasVqqdUIfBpLLvk1YyEVPFel/Q9ZGIgxjzc1ykCH_3OzMNplMavJSgSl3T7SsSIk0KI0),checked,,BRITNEY SPEARS,Disponible,,,24/6/2026 4:26pm
VINIL NO DOUBT ,DV00009,"$85,10",DISCO,DV00009 - DISCO VINIL NO DOUBT.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/Ypim231MvYRJTlDPhE1gDA/zwMs5wIIWUdk7h6LSjCnX1nUNMQmMzXGndbnehQogdfkMO0LRkjWfeua5vKfvR24IdN4HHHBsEhkxA2kGLzGVWxwupcThtTVA_XtRcyH7LaEzt57xyRf0wjs2A5UNTKzfzW86sA87TmjwyIkK2VcgTajzvpMEsFIZtXSpwEIykjzSmH4pyu-RtQ6YMRlY57R/6u1YdMI-BqQNNCVbrZORoEuVXy0B_bBAGD2K6cX-yw0),checked,,NO DOUBT ,Disponible,,,24/6/2026 4:26pm
VINIL BACKSTREETBOYS MILLENIUM ,DV00010 ,"$140,00",DISCO,DV00010 - DISCO VINIL BACKSTREETBOYS MILLENIUM.jpg (https://v5.airtableusercontent.com/v3/u/54/54/1782345600000/30fn6pjv5xHrivUDRcwK-Q/p8jsTylOSqKzXTMpYFWHUROjIALHw6piMiClChaCXBf9s1Pln21aoPbdZrRg8ykUhaSVsn4Bos1AWoSV2-TT7eHPy8mZ_TQSCMFDLJxL5g76R5yH2k6Upx-xyf2vMEAIgs3EnR_hPae0zTVuSx3bu0imjRpVZCHid7LG8ooieggY1wdJAClNaDjHkHY-WliqZRFDfpKSoDHlKPc7YldhCA/02WaNM-UvshEkr3T_S1s6odOlxm9pmRqeOACbfJeEYU),checked,,BACKSTREETBOYS,Disponible,,,24/6/2026 4:26pm
